,0,1
1467,14,1112111111
1469,2,2112001211
1470,7,2112001211
1471,8,1111111101
1472,13,1111111111
1473,15,1111111111
1474,16,1111111111
1485,7,1111111211
1486,9,1011111011
1487,10,1111111011
1489,15,1111111111
1490,1,1111111111
1491,2,1111111111
1492,3,1111111211
1493,4,1111111211
1494,5,1111111211
1495,6,1111111211
1496,13,1111111111
1497,14,1111111111
1512,33,1112212121
1518,12,2110111001
1522,23,2110000000
1526,31,0101111121
1527,1,0122212021
1528,2,0122212021
1529,3,0122212021
1530,4,0022212021
1531,5,0122211021
1532,6,0122211021
1533,7,0122211011
1534,8,0122211011
1535,9,0111211021
1536,10,0111001001
1537,13,2111211221
1538,14,2111111221
1539,15,2111111221
1540,16,2111111221
1541,17,2112111111
1542,18,0012111111
1543,24,1011211101
1544,25,1112211101
1545,26,1111211221
1546,27,1111011221
1547,28,0111111221
1548,29,1111111221
1556,3,0112211221
1557,4,2222212000
1559,17,2121212221
1574,10,2111212121
1575,11,2111212121
1576,12,2111212121
1577,13,2111212121
1578,20,2110211201
1579,21,2110211201
1580,22,2110211201
1581,23,2110211201
1582,24,2212212221
1583,25,2212212221
1584,26,2112212221
1585,27,2112212221
1594,32,0012211000
1595,33,0012211000
1596,34,0012211000
1597,35,0012211000
1598,36,0012211000
1599,37,0012211000
1600,38,0012211000
1601,39,0012211000
1602,40,0112210000
1603,41,0112210000
1604,42,0112211221
1605,43,0112211221
1606,44,0112211221
1607,45,0112211221
1608,46,0112212221
1609,47,0112212221
1614,3,2011020221
1616,7,1222012201
1617,1,2021020221
1618,2,2021020221
1619,5,1222212201
1620,6,1222212201
1628,1,2122212001
1629,2,2102212001
1630,3,2022212001
1631,4,2012212001
1632,5,2112212001
1633,6,2102212001
1634,7,2122212001
1635,8,2122212001
1653,6,1111111121
1654,7,2111111111
1655,8,1111111111
1657,12,1111111101
1658,14,1111111111
1659,16,1111111111
1660,17,1111110111
1661,18,1111111111
1665,25,1111111111
1666,28,1111111111
1667,1,1111101011
1668,2,1111111111
1669,3,1111111211
1670,4,1111111211
1671,9,1111111111
1672,10,1111111111
1673,19,1111111111
1674,20,1111111111
1675,21,1111111111
1676,22,1111111111
1677,23,1111111111
1678,24,1111111111
1684,9,2122212221
1687,4,0112212221
1688,5,0112212221
1690,11,2112212021
1691,12,2112212221
1692,1,0112212221
1693,2,0112212221
1694,7,0112212221
1695,8,0112212221
1701,14,0100000101
1702,15,0000000101
1707,3,0100210021
1711,10,0111211221
1712,11,0111211221
1713,12,0111211221
1714,13,0110211221
1715,4,2110210001
1716,5,0110210001
1717,6,2212211221
1718,7,2220211021
1719,8,0212211021
1720,9,2220211021
1728,1,2000000021
1729,2,2000000021
1734,11,0000212201
1735,12,0000212201
1736,3,2100000221
1737,4,2100000221
1738,5,2100000221
1739,6,2100000221
1740,7,0010012200
1741,8,0010012200
1742,9,0000212200
1743,10,0000212200
1756,11,2211012221
1759,1,0111112221
1760,2,0111112221
1761,3,0111112221
1762,4,0111112221
1763,5,1110012221
1764,6,1110012021
1765,7,0110112221
1766,8,0110112221
1767,9,2211012221
1768,10,2211012221
1769,12,2111010121
1770,13,2111010121
1771,14,2111010121
1772,15,2111010121
1783,8,0122212200
1788,1,0122212201
1789,2,0122212201
1790,3,0022212201
1791,4,0022212201
1792,5,0122210201
1793,6,0122210201
1794,9,2112011221
1795,11,2112111221
1796,14,2112011221
1797,15,2112011221
1799,18,2112010201
1800,19,2112010201
1801,20,2112010201
1802,16,2112010201
1803,17,2112010201
1815,15,0120212201
1816,16,0120212201
1817,19,0100212201
1818,20,0120212201
1821,5,2110111121
1822,6,2110111121
1826,13,1112111101
1827,1,2110111221
1828,2,2110111221
1829,3,2110111221
1830,4,2110111221
1831,7,1111111101
1832,8,1110111111
1833,9,1111111111
1834,10,1111111111
1835,11,1111110101
1836,12,1111110101
1855,8,2122012221
1858,15,2110111001
1864,27,0102111001
1865,28,0102212001
1866,29,1100212001
1867,30,1100211001
1868,1,2112011221
1869,2,2112211200
1870,3,2112211200
1871,4,2112211200
1872,5,2122012221
1873,6,2102012221
1874,11,2110211221
1875,12,2110211221
1876,13,2110011221
1877,14,2110011221
1878,17,2110111001
1879,18,2110111001
1880,19,2110211021
1881,20,2122211021
1882,21,2112211021
1883,22,2102011021
1884,23,2112212221
1885,24,2112212221
1886,25,0122212221
1887,26,0122211221
1895,1,1112111111
1899,14,1110111121
1900,15,1110111121
1903,3,1112111001
1907,10,1111111001
1910,25,1111102001
1913,5,2110111211
1914,4,1112111111
1915,6,1111111111
1916,7,1111111111
1917,8,2111111111
1918,9,2111111111
1919,12,1111110111
1920,13,2110111001
1921,22,2100002000
1922,23,2100000001
1923,26,1110111121
1924,27,1112111121
1927,28,1111112201
1928,29,1111112201
1929,30,1111110201
1930,31,1111112201
1941,15,2110111211
1942,23,1111111101
1943,24,1111111021
1949,7,1111111101
1950,13,2110111211
1951,14,2110111211
1952,27,1111111000
1953,28,0102001011
1954,29,1111111100
1955,30,2100000000
1956,1,1111000011
1957,2,0111111111
1958,3,1111111111
1959,4,1111111111
1960,5,1111111001
1961,6,1102010010
