,Unnamed: 0,Node Name,Level,Type
865,865,8_0110111211,5,L
866,866,9_0110111211,5,L
869,869,21_0000111111,5,L
871,871,24_0000211121,5,L
872,872,25_0000211121,5,L
873,873,26_0000111121,5,L
874,874,27_0100111121,5,L
875,875,30_1112211200,5,L
876,876,31_1112211221,5,L
879,879,17_0000111111,6,L
880,880,18_0000111111,6,L
881,881,19_0000111111,6,L
882,882,20_0000111111,6,L
883,883,22_0000111121,6,L
884,884,23_0000111121,6,L
885,885,32_0112111221,6,L
886,886,33_0112110221,6,L
887,887,34_2112111221,6,L
888,888,35_2112111201,6,L
896,896,1_2111111101,3,L
900,900,12_2022111221,3,L
901,901,13_2002111221,3,L
902,902,14_0110111221,3,L
903,903,15_0120111221,3,L
904,904,2_1112211101,4,L
905,905,3_0111211101,4,L
906,906,4_0111211221,4,L
907,907,5_0111211221,4,L
908,908,6_0000100021,4,L
909,909,7_0000100021,4,L
917,917,8_0112210201,3,L
920,920,13_0112211201,3,L
921,921,15_1000111221,3,L
925,925,9_0112211201,4,L
926,926,10_0112211201,4,L
927,927,11_0102211221,4,L
928,928,12_0112211201,4,L
929,929,17_1000111221,4,L
930,930,18_1000111221,4,L
931,931,19_1112111221,4,L
932,932,20_1112111221,4,L
933,933,21_1112111221,4,L
934,934,22_1112111221,4,L
939,939,7_1111001201,2,L
944,944,8_1110201201,3,L
945,945,9_1110201201,3,L
946,946,10_1110001201,3,L
947,947,11_2100101001,3,L
948,948,1_1110002211,4,L
949,949,2_1110001211,4,L
950,950,3_1110001211,4,L
951,951,4_2102101000,4,L
959,959,1_1111001011,3,L
968,968,5_1111001011,4,L
971,971,11_1111001011,4,L
973,973,14_1112011011,4,L
974,974,15_1111101011,4,L
975,975,16_1111001011,4,L
976,976,17_1111001011,4,L
977,977,18_1111001011,4,L
978,978,19_1111101011,4,L
979,979,20_2101101001,4,L
980,980,21_1111001011,4,L
981,981,3_1111001011,5,L
982,982,4_1111001011,5,L
983,983,6_1111101011,5,L
984,984,7_1111011011,5,L
985,985,8_1111101011,5,L
986,986,9_1111001011,5,L
987,987,12_1111001011,5,L
988,988,13_1111001011,5,L
996,996,1_2100101000,3,L
997,997,2_0100001000,3,L
998,998,3_2102111000,3,L
999,999,4_2100101020,3,L
1000,1000,5_2112111201,3,L
1001,1001,6_1112011201,3,L
1002,1002,7_2122111221,3,L
1003,1003,8_2112111221,3,L
1011,1011,1_1112211001,3,L
1012,1012,2_1112211001,3,L
1013,1013,3_0122211101,3,L
1014,1014,4_0122211101,3,L
1017,1017,9_2100101000,3,L
1018,1018,10_2100101000,3,L
1019,1019,5_2100101000,4,L
1020,1020,6_2100101000,4,L
1021,1021,7_2100101000,4,L
1022,1022,8_2100101000,4,L
1026,1026,1_2000100000,2,L
1032,1032,7_0102212101,3,L
1037,1037,4_2202112221,4,L
1038,1038,5_0122211221,4,L
1039,1039,6_2122111221,4,L
1041,1041,10_2212111221,4,L
1042,1042,11_0122011221,4,L
1043,1043,12_0112011221,4,L
1044,1044,13_0110001201,4,L
1045,1045,14_0110001201,4,L
1046,1046,2_2202112221,5,L
1047,1047,3_2202112221,5,L
1048,1048,8_2112111221,5,L
1049,1049,9_2102111200,5,L
1061,1061,12_1222010102,3,L
1062,1062,13_1202010002,3,L
1063,1063,16_0112011200,3,L
1064,1064,19_2112111221,3,L
1065,1065,1_0222010100,4,L
1066,1066,2_0122011100,4,L
1067,1067,3_0112211200,4,L
1068,1068,4_0112011200,4,L
1069,1069,8_2101101001,4,L
1070,1070,9_2111101011,4,L
1071,1071,10_1111101011,4,L
1072,1072,11_1111201001,4,L
1082,1082,5_2100101000,3,L
1086,1086,13_2100101000,3,L
1087,1087,14_0100001000,3,L
1088,1088,1_0000000021,4,L
1089,1089,2_0000000021,4,L
1090,1090,3_0000000021,4,L
1091,1091,4_0000000021,4,L
1092,1092,7_2100101001,4,L
1093,1093,8_2100001001,4,L
1094,1094,9_2100101000,4,L
1095,1095,10_2100101000,4,L
1096,1096,11_0100001000,4,L
1097,1097,12_2100101000,4,L
1129,1129,1_2110101021,5,L
1130,1130,2_2110101021,5,L
1131,1131,3_2110101021,5,L
1132,1132,4_2110101021,5,L
1133,1133,5_2100101221,5,L
1134,1134,6_2100101221,5,L
1135,1135,7_2100101221,5,L
1136,1136,8_2100101221,5,L
1137,1137,9_0112011012,5,L
1138,1138,10_0112011012,5,L
1139,1139,11_0112011012,5,L
1140,1140,12_0112011012,5,L
1141,1141,13_0112011012,5,L
1142,1142,14_0112011012,5,L
1143,1143,15_0112011012,5,L
1144,1144,16_0112011012,5,L
1145,1145,17_2121101100,5,L
1146,1146,18_2111101201,5,L
1147,1147,19_0111001221,5,L
1148,1148,20_0111001221,5,L
1149,1149,21_0122211121,5,L
1150,1150,22_0122211121,5,L
1151,1151,23_2212112221,5,L
1152,1152,24_2212112221,5,L
1153,1153,25_2100101000,5,L
1154,1154,26_2112111211,5,L
1155,1155,27_2112111211,5,L
1156,1156,28_2112111211,5,L
1157,1157,29_0122211221,5,L
1158,1158,30_0122211111,5,L
1159,1159,31_1121101111,5,L
1160,1160,32_1121001111,5,L
1167,1167,22_2100101000,2,L
1168,1168,1_2111101221,3,L
1169,1169,2_1112211000,3,L
1171,1171,5_2100101000,3,L
1174,1174,3_0110101001,4,L
1175,1175,4_1110001021,4,L
1178,1178,11_2112111221,4,L
1180,1180,7_1111001201,5,L
1181,1181,8_1111001221,5,L
1182,1182,9_1111001221,5,L
1183,1183,10_1111001221,5,L
1184,1184,13_1111001221,5,L
1185,1185,14_1111001201,5,L
1189,1189,4_0120111100,2,L
1193,1193,5_1120111100,3,L
1194,1194,7_1120111101,3,L
1197,1197,16_2102011221,3,L
1199,1199,8_1101001201,4,L
1200,1200,9_1111001201,4,L
1201,1201,13_0111011101,4,L
1202,1202,14_0111011001,4,L
1203,1203,18_2102011221,4,L
1204,1204,19_2102011221,4,L
1212,1212,1_1112001011,3,L
1213,1213,2_1112111211,3,L
1214,1214,3_0112111211,3,L
1215,1215,4_1112111211,3,L
1218,1218,9_1111212021,3,L
1219,1219,10_1111212121,3,L
1220,1220,5_2110211021,4,L
1221,1221,6_2110211021,4,L
1222,1222,7_2110211021,4,L
1223,1223,8_2110211021,4,L
1233,1233,5_2122211021,3,L
1234,1234,6_2202011221,3,L
1235,1235,7_0112210021,3,L
1236,1236,8_0112211021,3,L
1237,1237,9_0100011021,3,L
1238,1238,10_0112011021,3,L
1239,1239,1_0201000201,4,L
1240,1240,2_0101000000,4,L
1241,1241,3_0201010201,4,L
1242,1242,4_0201010201,4,L
1250,1250,9_2121212001,3,L
1251,1251,10_2121212001,3,L
1252,1252,11_2121211201,3,L
1253,1253,12_2121211201,3,L
1254,1254,13_2122111221,3,L
1255,1255,14_2122111221,3,L
1256,1256,15_2122111221,3,L
1257,1257,16_2122111221,3,L
1261,1261,4_1111111111,2,L
1265,1265,5_1111111111,3,L
1266,1266,6_1111111111,3,L
1268,1268,10_1111111111,3,L
1271,1271,7_1111111001,4,L
1272,1272,8_1111111111,4,L
1274,1274,16_2111111111,4,L
1276,1276,21_2111111111,4,L
1277,1277,14_2111111111,5,L
1278,1278,15_2111111111,5,L
1279,1279,18_2111111111,5,L
1280,1280,19_2111111111,5,L
1291,1291,15_0122012201,3,L
1292,1292,16_0122012000,3,L
1296,1296,9_2112012221,4,L
1297,1297,10_2112012221,4,L
1298,1298,11_2112212221,4,L
1299,1299,12_2112212221,4,L
1300,1300,13_1122012001,4,L
1301,1301,14_1122012001,4,L
1302,1302,17_0122012000,4,L
1303,1303,18_0122012000,4,L
1304,1304,19_2112212211,4,L
1305,1305,20_2112212211,4,L
1306,1306,21_2112202201,4,L
1307,1307,22_2112212211,4,L
1311,1311,3_1111111011,2,L
1312,1312,4_1111111111,2,L
1314,1314,7_2111111121,2,L
1315,1315,5_2111111211,3,L
1316,1316,6_2111111211,3,L
1320,1320,1_1111111111,2,L
1321,1321,2_1111111111,2,L
1322,1322,10_1111111111,2,L
1323,1323,11_1111111001,2,L
1327,1327,1_0111111111,2,L
1333,1333,7_2112211201,3,L
1334,1334,8_2112111121,3,L
1335,1335,9_2110011000,3,L
1336,1336,10_2110011000,3,L
1337,1337,3_1110111101,4,L
1338,1338,4_1111211101,4,L
1339,1339,5_1111111101,4,L
1340,1340,6_1111111101,4,L
1358,1358,5_0000010021,4,L
1359,1359,6_0000010021,4,L
1360,1360,13_0112211221,4,L
1361,1361,14_0112211221,4,L
1362,1362,15_0112212221,4,L
1363,1363,16_0112212221,4,L
1372,1372,1_0000000221,5,L
1373,1373,2_0000000221,5,L
1374,1374,3_0000000221,5,L
1375,1375,4_0000000221,5,L
1376,1376,17_2112011221,5,L
1377,1377,18_2112011221,5,L
1378,1378,19_2112011221,5,L
1379,1379,20_2112011221,5,L
1380,1380,21_2112011221,5,L
1381,1381,22_2112011221,5,L
1382,1382,23_2112011221,5,L
1383,1383,24_2112011221,5,L
1384,1384,25_2112210000,5,L
1385,1385,26_2112000201,5,L
1386,1386,27_2112211201,5,L
1387,1387,28_2112211201,5,L
1388,1388,29_2000212000,5,L
1389,1389,30_2000212000,5,L
1390,1390,31_2000212021,5,L
1391,1391,32_2000212021,5,L
1399,1399,1_0222000000,3,L
1400,1400,2_0222000000,3,L
1401,1401,3_0222000000,3,L
1402,1402,4_0222000000,3,L
1403,1403,5_0112000000,3,L
1404,1404,6_0112000000,3,L
1405,1405,7_0122000000,3,L
1406,1406,8_0122000000,3,L
1414,1414,1_0122210221,3,L
1415,1415,2_0122210221,3,L
1416,1416,3_0212210221,3,L
1417,1417,4_0212210221,3,L
1432,1432,9_2102000000,5,L
1433,1433,12_2202000000,5,L
1436,1436,17_2102210101,5,L
1438,1438,21_2100001201,5,L
1439,1439,22_2100001201,5,L
1440,1440,23_0100001201,5,L
1441,1441,24_1100001201,5,L
1444,1444,29_2100002001,5,L
1445,1445,30_2100002001,5,L
1446,1446,5_2102120202,6,L
1447,1447,6_2102120202,6,L
1448,1448,7_2102120202,6,L
1449,1449,8_2102120202,6,L
